,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,district,total,year
0,21,536,4.0,1.0,344,20,99,187,27,13,9.0,4,160,210,2.0,16,1531,12,1.0,168,756,946,,4.0,22.0,124,29.0,94,29,1.0,22,10.0,348,,34,532,316,137,56,RICHMOND,6825,2009
0,9,522,3.0,2.0,357,14,103,218,29,10,4.0,3,54,167,,14,1200,14,2.0,158,783,1051,,1.0,30.0,119,12.0,115,40,3.0,45,2.0,393,,32,520,282,127,62,RICHMOND,6500,2010
0,13,520,3.0,1.0,402,16,73,143,27,7,3.0,5,49,175,,11,1338,13,1.0,217,832,999,,,21.0,93,15.0,92,30,2.0,45,4.0,362,,41,553,339,166,51,RICHMOND,6662,2011
0,12,507,5.0,1.0,481,12,44,189,32,10,2.0,4,56,150,,13,1777,27,,214,1073,1038,,1.0,33.0,106,19.0,96,38,,34,5.0,445,,40,524,488,178,53,RICHMOND,7707,2012
0,25,877,7.0,1.0,678,51,21,229,89,21,2.0,6,242,219,2.0,25,1632,22,6.0,546,1128,1252,2.0,18.0,,228,97.0,126,51,2.0,39,10.0,594,,57,816,2265,279,91,TARAVAL,11756,2005
0,17,933,9.0,1.0,558,39,19,203,78,23,14.0,8,266,233,4.0,34,1996,9,4.0,785,987,1143,,12.0,94.0,290,95.0,149,47,4.0,35,10.0,515,,73,851,927,246,116,TARAVAL,10827,2006
0,25,847,14.0,7.0,515,38,21,216,57,23,5.0,4,320,196,,29,1647,24,10.0,774,845,1175,1.0,19.0,88.0,284,85.0,136,43,2.0,30,6.0,465,,72,820,787,254,104,TARAVAL,9988,2007
0,17,881,8.0,3.0,509,17,48,354,44,20,9.0,4,295,227,1.0,31,1910,28,9.0,640,938,1535,,32.0,73.0,287,67.0,160,64,1.0,30,9.0,511,,66,924,674,243,101,TARAVAL,10770,2008
0,19,820,8.0,3.0,461,22,60,426,45,21,22.0,2,277,242,1.0,38,1958,28,4.0,522,966,1581,,16.0,49.0,223,51.0,140,60,1.0,37,8.0,535,,50,844,523,205,83,TARAVAL,10351,2009
0,20,959,5.0,4.0,503,21,41,246,34,7,10.0,11,88,237,,32,1547,20,2.0,465,944,1317,,18.0,56.0,206,15.0,143,67,2.0,20,14.0,584,,51,849,470,203,99,TARAVAL,9310,2010
0,20,847,3.0,5.0,590,27,50,260,35,17,4.0,5,58,267,,57,1943,17,2.0,452,1125,1362,,6.0,55.0,210,17.0,159,65,5.0,37,8.0,513,,52,850,463,210,80,TARAVAL,9876,2011
0,27,879,10.0,5.0,722,20,56,240,36,16,3.0,5,72,302,1.0,25,2104,25,3.0,376,1318,1462,,2.0,66.0,201,16.0,191,60,2.0,39,12.0,508,,70,756,505,287,93,TARAVAL,10515,2012
0,70,1373,7.0,4.0,783,66,8,785,44,15,3.0,15,170,156,1.0,39,1654,5,20.0,679,899,2615,,16.0,,403,51.0,169,63,2.0,46,7.0,555,,131,876,2308,800,270,BAYVIEW,15108,2005
0,73,1568,6.0,8.0,728,28,24,820,44,21,1.0,17,204,154,3.0,52,1382,19,8.0,926,847,2594,,12.0,247.0,555,42.0,245,57,8.0,41,9.0,651,,120,863,907,705,253,BAYVIEW,14242,2006
0,76,1500,6.0,5.0,735,19,35,793,33,22,4.0,6,239,124,5.0,54,1450,24,10.0,789,765,2510,1.0,17.0,217.0,587,20.0,255,59,3.0,55,4.0,626,,210,904,785,737,241,BAYVIEW,13925,2007
0,72,1510,5.0,7.0,678,21,39,595,22,16,2.0,11,192,142,5.0,61,1477,16,11.0,1138,745,2804,1.0,6.0,203.0,669,35.0,248,83,4.0,41,8.0,593,,90,972,804,520,258,BAYVIEW,14104,2008
0,44,1562,7.0,10.0,702,39,31,713,27,22,7.0,10,159,127,,62,1332,19,4.0,788,767,3056,,10.0,148.0,436,49.0,300,47,3.0,40,4.0,584,,91,1011,684,446,276,BAYVIEW,13617,2009
0,63,1595,6.0,10.0,589,43,27,662,34,14,3.0,11,62,127,2.0,39,1600,17,1.0,1043,824,2819,1.0,7.0,148.0,411,47.0,303,76,7.0,60,7.0,709,1.0,99,1115,657,575,262,BAYVIEW,14076,2010
0,49,1661,3.0,13.0,547,18,27,659,55,16,4.0,5,47,138,9.0,46,1449,24,2.0,1144,954,2638,,6.0,154.0,335,63.0,347,66,4.0,77,3.0,818,,74,875,679,641,264,BAYVIEW,13914,2011
0,58,1591,4.0,10.0,642,20,38,693,63,16,1.0,9,82,152,7.0,37,1812,22,2.0,904,1185,2645,,7.0,148.0,404,93.0,306,83,3.0,89,3.0,721,1.0,84,893,755,622,300,BAYVIEW,14505,2012
0,10,606,3.0,2.0,542,61,9,356,60,5,1.0,2,94,168,1.0,7,1272,15,4.0,350,709,905,,1.0,,141,118.0,50,33,2.0,25,4.0,270,,46,416,1407,347,67,PARK,8109,2005
0,15,596,4.0,4.0,691,50,18,410,64,12,1.0,2,107,149,,12,1373,20,4.0,401,734,1081,1.0,,47.0,165,116.0,80,29,,23,7.0,229,,58,431,542,349,60,PARK,7885,2006
0,3,506,3.0,1.0,336,42,35,576,57,19,,7,113,133,,11,1190,22,3.0,323,583,1334,,3.0,29.0,129,75.0,72,32,,21,2.0,246,,52,422,429,366,59,PARK,7234,2007
0,13,571,6.0,,437,31,34,489,47,8,2.0,8,119,144,,13,1252,30,2.0,472,575,1144,,3.0,28.0,160,56.0,75,35,1.0,11,6.0,261,,41,371,440,251,52,PARK,7188,2008
0,19,571,1.0,1.0,335,71,38,630,104,11,2.0,2,109,124,1.0,17,1265,32,1.0,391,686,1260,,1.0,26.0,183,68.0,82,25,2.0,15,5.0,256,,54,423,365,309,69,PARK,7554,2009
0,5,506,,2.0,327,41,39,465,53,4,,6,56,149,,9,1140,31,2.0,467,768,1016,,1.0,20.0,121,77.0,81,29,,28,5.0,285,,50,448,303,328,50,PARK,6912,2010
0,3,480,1.0,1.0,413,42,43,357,47,6,,1,32,162,,13,1375,21,2.0,481,1069,953,,,35.0,135,89.0,68,33,,41,4.0,337,,40,454,383,349,62,PARK,7532,2011
0,4,514,4.0,2.0,549,39,41,420,57,5,1.0,2,46,141,,9,1822,13,,490,1385,855,,,34.0,182,77.0,87,38,3.0,32,3.0,342,,58,506,525,418,65,PARK,8769,2012
