DayOfWeek,Date,PdDistrict
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Tuesday,01/07/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Monday,01/06/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Sunday,01/05/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
Saturday,01/04/2014,TENDERLOIN
